Early-demographic dividend,EAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.53622640755937
East Asia & Pacific,EAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.80448256600881
Europe & Central Asia (excluding high income),ECA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.9404110703194
Europe & Central Asia,ECS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.75003709444592
Ecuador,ECU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.486
"Egypt, Arab Rep.",EGY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.265
Euro area,EMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.55189817288952
Eritrea,ERI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.133
Spain,ESP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.33
Estonia,EST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.58
Ethiopia,ETH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.198
European Union,EUU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.57129438663389
Fragile and conflict affected situations,FCS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.45155873202567
Finland,FIN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.65
Fiji,FJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.516
France,FRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.96
Faroe Islands,FRO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.6
"Micronesia, Fed. Sts.",FSM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.145
Gabon,GAB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.786
United Kingdom,GBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8
Georgia,GEO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.996
Ghana,GHA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.984
Gibraltar,GIB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Guinea,GIN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.855
"Gambia, The",GMB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.425
Guinea-Bissau,GNB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.633
Equatorial Guinea,GNQ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.687
Greece,GRC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.33
